0	5	0	5.95547	5.95547
1	15	0	5.68369	5.68369
2	25	0	5.4191	5.4191
3	35	0	5.16189	5.16189
4	45	0	4.91229	4.91229
5	55	0	4.67057	4.67057
6	65	0	4.437	4.437
7	75	0	4.21192	4.21192
8	85	0	3.99572	3.99572
9	95	0	3.78882	3.78882
10	105	0	3.59169	3.59169
11	115	0	3.40484	3.40484
12	125	0	3.22883	3.22883
13	135	0	3.0642	3.0642
14	145	0	2.91153	2.91153
15	155	0	2.77131	2.77131
16	165	0	2.64396	2.64396
17	175	0	2.52976	2.52976
18	185	0	2.4288	2.4288
19	195	0	2.34093	2.34093
20	205	0	2.2658	2.2658
21	215	0	2.20279	2.20279
22	225	0	2.1511	2.1511
23	235	0	2.10979	2.10979
24	245	0	2.07783	2.07783
25	255	0	2.05415	2.05415
26	265	0	2.03772	2.03772
27	275	0	2.02757	2.02757
28	285	0	2.02279	2.02279
29	295	0	2.02256	2.02256
30	305	0	2.02619	2.02619
31	315	0	2.03306	2.03306
32	325	0	2.04262	2.04262
33	335	0	2.05442	2.05442
34	345	0	2.06809	2.06809
35	355	0	2.08329	2.08329
36	365	0	2.09975	2.09975
37	375	0	2.11725	2.11725
38	385	0	2.13561	2.13561
39	395	0	2.20785	2.20785
40	405	0	2.27796	2.27796
41	415	0	2.3448	2.3448
42	425	0	2.4083	2.4083
43	435	0	2.46841	2.46841
44	445	0	2.52512	2.52512
45	455	0	2.5784	2.5784
46	465	0	2.62828	2.62828
47	475	0	2.67475	2.67475
48	485	0	2.71788	2.71788
49	495	0	2.75769	2.75769
50	505	0	2.79425	2.79425
51	515	0	2.82763	2.82763
52	525	0	2.85792	2.85792
53	535	0	2.88521	2.88521
54	545	0	2.90961	2.90961
55	555	0	2.93124	2.93124
56	565	0	2.95022	2.95022
57	575	0	2.96671	2.96671
58	585	0	2.98084	2.98084
59	595	0	2.99278	2.99278
60	605	0	3.0027	3.0027
61	615	0	3.01079	3.01079
62	625	0	3.01723	3.01723
63	635	0	3.02223	3.02223
64	645	0	3.026	3.026
65	655	0	3.02875	3.02875
66	665	0	3.03072	3.03072
67	675	0	3.03213	3.03213
68	685	0	3.0478	3.0478
69	695	0	3.1077	3.1077
70	705	0	3.17154	3.17154
71	715	0	3.23954	3.23954
72	725	0	3.31196	3.31196
73	735	0	3.38904	3.38904
74	745	0	3.471	3.471
75	755	0	3.55808	3.55808
76	765	0	3.65049	3.65049
77	775	0	3.74845	3.74845
78	785	0	3.85214	3.85214
79	795	0	3.96177	3.96177
80	805	0	4.07749	4.07749
81	815	0	4.19947	4.19947
82	825	0	4.32785	4.32785
83	835	0	4.46276	4.46276
84	845	0	4.60431	4.60431
85	855	0	4.7526	4.7526
86	865	0	4.90772	4.90772
87	875	0	5.06972	5.06972
88	885	0	5.23867	5.23867
89	895	0	5.41462	5.41462
90	905	0	5.59758	5.59758
91	915	0	5.78759	5.78759
92	925	0	5.98466	5.98466
93	935	0	6.18878	6.18878
94	945	0	6.39996	6.39996
95	955	0	6.61819	6.61819
96	965	0	6.84344	6.84344
97	975	0	7.0757	7.0757
98	985	0	7.31494	7.31494
99	995	0	7.56114	7.56114
100	1005	0	7.81426	7.81426
101	1015	0	8.07428	8.07428
102	1025	0	8.34115	8.34115
103	1035	0	8.61485	8.61485
104	1045	0	8.89534	8.89534
105	1055	0	9.18258	9.18258
106	1065	0	9.47654	9.47654
107	1075	0	9.77718	9.77718
108	1085	0	10.0845	10.0845
0	5	0	5.95547	5.95547
1	15	0	5.68369	5.68369
2	25	0	5.4191	5.4191
3	35	0	5.16189	5.16189
4	45	0	4.91229	4.91229
5	55	0	4.67057	4.67057
6	65	0	4.437	4.437
7	75	0	4.21192	4.21192
8	85	0	3.99572	3.99572
9	95	0	3.78882	3.78882
10	105	0	3.59169	3.59169
11	115	0	3.40484	3.40484
12	125	0	3.22883	3.22883
13	135	0	3.0642	3.0642
14	145	0	2.91153	2.91153
15	155	0	2.77131	2.77131
16	165	0	2.64396	2.64396
17	175	0	2.52976	2.52976
18	185	0	2.4288	2.4288
19	195	0	2.34093	2.34093
20	205	0	2.2658	2.2658
21	215	0	2.20279	2.20279
