80	784.631	23.1162	0.996647
81	784.893	23.0894	0.996314
82	784.404	23.5462	0.996935
83	784.286	23.61	0.997085
84	784.273	23.8393	0.997101
85	784.389	25.6796	0.996955
86	784.153	28.3665	0.997254
87	785.356	25.9841	0.995726
88	784.704	24.0564	0.996554
89	784.877	24.1529	0.996335
90	784.183	24.514	0.997216
92	784.253	27.7119	0.997128
94	784.789	26.7168	0.996446
95	784.025	29.4963	0.997417
96	784.873	24.1396	0.996339
97	784.502	24.7531	0.996811
98	784.328	24.1516	0.997032
99	785.143	24.4761	0.995997
100	784.736	25.7414	0.996514
102	784.762	26.8893	0.99648
103	784.805	25.9494	0.996425
104	785.024	23.8057	0.996147
105	784.585	23.9981	0.996705
106	784.548	24.2786	0.996753
108	784.265	24.7364	0.997111
109	784.065	27.7984	0.997366
110	785.061	25.0197	0.996101
111	784.17	24.0679	0.997233
112	784.693	25.269	0.996568
113	784.897	24.824	0.996309
114	784.803	25.8489	0.996428
115	784.406	31.1788	0.996933
116	784.718	25.6235	0.996536
117	784.711	25.0279	0.996545
118	784.994	24.8795	0.996186
119	784.893	24.9977	0.996314
120	784.224	25.5817	0.997164
