0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
1844	0.601652	52.8911	47	1.12534	0.0256071	0.0271926	-1	-1	3
1849	0.601652	54.9407	47	1.16895	-0.0578866	0.0245483	-1	-1	3
1850	0.601652	59.0967	47	1.25738	0.0299685	0.0273196	-1	-1	3
1852	0.601652	53.9879	47	1.14868	-0.00912728	0.0260345	-1	-1	3
1854	0.601652	36.1449	47	0.769039	0.00340944	0.0264932	-1	-1	3
1855	0.601652	49.5712	47	1.05471	-0.00197018	0.0262877	-1	-1	3
1862	0.601652	48.7121	47	1.03643	-0.0534032	0.0246248	-1	-1	3
1866	0.601652	72.6081	47	1.54485	-0.0325026	0.0253234	-1	-1	3
1873	0.601652	48.0305	47	1.02193	-0.0346339	0.0251844	-1	-1	3
1881	0.601652	36.5685	47	0.778054	-0.0247126	0.0255702	-1	-1	3
1889	0.601652	54.7816	47	1.16556	-0.0916345	0.0234547	-1	-1	3
1895	0.601652	65.5008	47	1.39363	0.0347187	0.0274853	-1	-1	3
1897	0.601652	50.4676	47	1.07378	0.0295337	0.0273718	-1	-1	3
1899	0.601652	37.0505	47	0.78831	0.0214838	0.0270964	-1	-1	3
1912	0.601652	44.2642	47	0.941791	-0.00830247	0.0260752	-1	-1	3
1916	0.601652	47.5237	47	1.01114	0.0053489	0.0265162	-1	-1	3
1918	0.601652	38.7796	47	0.825098	-0.00707848	0.0261257	-1	-1	3
1919	0.601652	35.7532	47	0.760707	-0.0214073	0.0257019	-1	-1	3
1921	0.601652	24.7512	47	0.526622	0.0224323	0.0270334	-1	-1	3
1923	0.601652	44.1309	47	0.938956	0.0162362	0.0268046	-1	-1	3
1924	0.601652	42.6797	47	0.908078	-0.000519177	0.0263518	-1	-1	3
1928	0.601652	41.5448	47	0.883931	-0.021029	0.0257295	-1	-1	3
1931	0.601652	62.251	47	1.32449	0.000110614	0.0263794	-1	-1	3
1938	0.601652	49.3819	47	1.05068	0.00508716	0.0264319	-1	-1	3
1972	0.601652	42.1466	47	0.896736	0.0478298	0.0279306	-1	-1	3
1974	0.601652	41.827	47	0.889936	0.00379735	0.0264939	-1	-1	3
1975	0.601652	56.0349	47	1.19223	0.0114013	0.0266846	-1	-1	3
1977	0.601652	28.9545	47	0.616054	0.023853	0.0271329	-1	-1	3
1979	0.601652	49.6257	47	1.05587	0.0632165	0.0284157	-1	-1	3
1989	0.601652	39.857	47	0.848022	-0.0131246	0.0259264	-1	-1	3
1990	0.601652	41.4189	47	0.881253	-0.00865434	0.0261335	-1	-1	3
1991	0.601652	58.3952	47	1.24245	0.0333434	0.0274004	-1	-1	3
1994	0.601652	36.5901	47	0.778513	0.0373934	0.0276047	-1	-1	3
1995	0.601652	37.6898	47	0.801912	-0.0211882	0.0256532	-1	-1	3
1996	0.601652	37.184	47	0.791149	-0.00632882	0.0261451	-1	-1	3
2005	0.601652	35.997	47	0.765894	-0.0272194	0.0254083	-1	-1	3
2006	0.601652	57.0207	47	1.21321	0.00690183	0.0265959	-1	-1	3
2010	0.601652	41.1926	47	0.876438	-0.0370962	0.0251651	-1	-1	3
2015	0.601652	27.1376	47	0.577397	-0.0261927	0.025477	-1	-1	3
2016	0.601652	43.0535	47	0.916032	-0.00887205	0.0261198	-1	-1	3
2029	0.601652	48.673	47	1.0356	-0.108988	0.022887	-1	-1	3
2039	0.601652	53.6541	47	1.14158	-0.0471891	0.0247785	-1	-1	3
2056	0.601652	38.2274	47	0.813348	0.0178196	0.0269526	-1	-1	3
2058	0.601652	53.1269	47	1.13036	0.0778785	0.0289045	-1	-1	3
2064	0.601652	45.4131	47	0.966236	0.0633457	0.0284606	-1	-1	3
2066	0.601652	54.1124	47	1.15133	0.0303875	0.0273324	-1	-1	3
2067	0.601652	77.428	47	1.6474	0.0722925	0.0287527	-1	-1	3
2068	0.601652	39.7135	47	0.844968	-0.0192792	0.0257161	-1	-1	3
2072	0.601652	43.1393	47	0.917857	0.0696063	0.0286561	-1	-1	3
2076	0.601652	45.9805	47	0.978308	0.0120715	0.0266978	-1	-1	3
2078	0.601652	34.6648	47	0.737548	0.0150792	0.0268594	-1	-1	3
2079	0.601652	38.8706	47	0.827034	0.0531771	0.028076	-1	-1	3
2082	0.601652	44.6466	47	0.949927	0.0240313	0.0271057	-1	-1	3
2084	0.601652	56.5801	47	1.20383	0.00124613	0.0263463	-1	-1	3
2087	0.601652	35.4781	47	0.754852	-0.0379181	0.0250945	-1	-1	3
2090	0.601652	42.8208	47	0.911082	-0.0199527	0.0256791	-1	-1	3
2091	0.601652	44.6036	47	0.949014	0.024907	0.0271106	-1	-1	3
2092	0.601652	36.6309	47	0.779381	-0.000374409	0.0263247	-1	-1	3
2094	0.601652	36.5162	47	0.776941	-0.0417441	0.0249734	-1	-1	3
2095	0.601652	32.7303	47	0.696389	-0.0255754	0.0255629	-1	-1	3
2096	0.601652	34.3719	47	0.731317	-0.0566097	0.0245204	-1	-1	3
2099	0.601652	47.1262	47	1.00268	0.00254292	0.0264296	-1	-1	3
2104	0.601652	53.4054	47	1.13629	-0.0118058	0.0259584	-1	-1	3
2108	0.601652	39.2769	47	0.835679	0.0272983	0.027237	-1	-1	3
2114	0.601652	33.2699	47	0.707871	0.00484431	0.0264758	-1	-1	3
2118	0.601652	43.3208	47	0.921719	0.0118507	0.0266063	-1	-1	3
2161	0.601652	42.1309	47	0.896403	0.0285007	0.0272622	-1	-1	3
2163	0.601652	40.5315	47	0.862372	-0.0508907	0.0247237	-1	-1	3
2165	0.601652	46.0377	47	0.979527	-0.00677545	0.0261512	-1	-1	3
2166	0.601652	56.3203	47	1.1983	-0.00673052	0.0261206	-1	-1	3
2168	0.601652	50.7324	47	1.07941	-0.0226457	0.0256363	-1	-1	3
2170	0.601652	40.2137	47	0.85561	0.00667249	0.0265786	-1	-1	3
2174	0.601652	58.2654	47	1.23969	0.000615246	0.0263082	-1	-1	3
2175	0.601652	47.4251	47	1.00904	-0.0488312	0.0247823	-1	-1	3
2177	0.601652	43.9336	47	0.934757	-0.00610584	0.0261042	-1	-1	3
2179	0.601652	59.1594	47	1.25871	-0.0111219	0.0259382	-1	-1	3
2192	0.601652	61.4387	47	1.30721	-0.0525601	0.0246652	-1	-1	3
2197	0.601652	31.8065	47	0.676734	-0.0493743	0.0247114	-1	-1	3
2198	0.601652	38.9091	47	0.827854	0.00185377	0.0263056	-1	-1	3
2215	0.601652	58.2706	47	1.2398	0.0575342	0.0282413	-1	-1	3
2217	0.601652	51.3878	47	1.09336	0.0610142	0.0283521	-1	-1	3
2225	0.601652	43.6418	47	0.928549	0.0714413	0.0287037	-1	-1	3
2228	0.601652	42.6394	47	0.907222	0.00736078	0.0265433	-1	-1	3
2231	0.601652	63.3211	47	1.34726	0.0411962	0.027671	-1	-1	3
2235	0.601652	39.7077	47	0.844845	0.0393678	0.0276182	-1	-1	3
2237	0.601652	45.9478	47	0.977612	-0.00100576	0.0263065	-1	-1	3
2238	0.601652	43.6739	47	0.929233	0.00933142	0.0266203	-1	-1	3
2242	0.601652	43.5958	47	0.92757	0.0373095	0.0274758	-1	-1	3
2243	0.601652	38.3206	47	0.815331	0.0497048	0.027936	-1	-1	3
2245	0.601652	49.1716	47	1.0462	-0.0126613	0.0260087	-1	-1	3
2246	0.601652	33.2719	47	0.707913	-0.00366931	0.0261992	-1	-1	3
2248	0.601652	64.78	47	1.3783	0.0775749	0.0289412	-1	-1	3
2249	0.601652	41.5026	47	0.883033	0.00800225	0.0265655	-1	-1	3
