80	B1	21719
80	B2	21720
80	B3	21721
80	B4	21722
80	B5	21723
80	B6	21724
80	B7	21725
80	B8	21726
80	B9	21727
80	B10	21728
80	B11	21729
80	B12	21730
80	A1	21731
80	A2	21732
80	A3	21733
80	A4	21734
80	A5	21735
80	A6	21736
80	A7	21737
80	A8	21738
80	A9	21739
80	A10	21740
80	A11	21741
80	A12	21742
81	B1	21743
81	B2	21744
81	B3	21745
81	B4	21746
81	B5	21747
81	B6	21748
81	B7	21749
81	B8	21750
81	B9	21751
81	B10	21752
81	B11	21753
81	B12	21754
81	A1	21755
81	A2	21756
81	A3	21757
81	A4	21758
81	A5	21759
81	A6	21760
81	A7	21761
81	A8	21762
81	A9	21763
81	A10	21764
81	A11	21765
81	A12	21766
88	B1	22023
88	B2	22024
88	B3	22025
88	B4	22026
88	B5	22027
88	B6	22028
88	B7	22029
88	B8	22030
88	B9	22031
88	B10	22032
88	B11	22033
88	B12	22034
88	A1	22035
88	A2	22036
88	A3	22037
88	A4	22038
88	A5	22039
88	A6	22040
88	A7	22041
88	A8	22042
88	A9	22043
88	A10	22044
88	A11	22045
88	A12	22046
89	A1	22047
89	A2	22048
89	A3	22049
89	A4	22050
89	A5	22051
89	A6	22052
89	A7	22053
89	A8	22054
89	A9	22055
89	A10	22056
89	A11	22057
89	A12	22058
89	B1	22059
89	B2	22060
89	B3	22061
89	B4	22062
89	B5	22063
89	B6	22064
89	B7	22065
89	B8	22066
89	B9	22067
89	B10	22068
89	B11	22069
89	B12	22070
94	B1	22164
94	B2	22165
94	B3	22166
94	B4	22167
94	B5	22168
94	B6	22169
94	B7	22170
94	B8	22171
94	B9	22172
94	B10	22174
94	B11	22175
94	B12	22176
94	A1	22177
94	A2	22178
94	A3	22179
94	A4	22180
94	A5	22181
94	A6	22182
94	A7	22183
94	A8	22184
94	A9	22185
94	A10	22186
94	A11	22187
94	A12	22188
95	B1	22190
95	B2	22191
95	B3	22192
95	B4	22193
95	B5	22194
95	B6	22195
95	B7	22196
95	B8	22197
