80	786.715	56.4399	0.994006
81	787.372	56.4519	0.993177
82	782.851	56.8581	0.998912
83	789.81	58.9481	0.990111
84	784.876	58.2435	0.996335
85	783.382	62.1526	0.998235
86	789.393	71.9103	0.990634
87	791.627	65.297	0.987839
88	788.25	59.7697	0.992071
89	786.842	59.5108	0.993847
90	785.6	60.5617	0.995417
92	785.731	70.5728	0.995252
94	794.493	68.5242	0.984275
95	801.879	74.1933	0.975209
96	790.307	61.3889	0.989488
97	779.833	60.2314	1.00278
98	782.698	59.5819	0.999108
99	794.565	62.6803	0.984186
100	791.728	64.8995	0.987713
102	786.391	66.7169	0.994416
103	782.914	64.6205	0.998833
104	784.619	58.215	0.996662
105	780.789	58.2345	1.00155
106	782.436	59.4987	0.999443
108	780.243	60.3207	1.00225
109	789.291	70.0419	0.990763
110	780.475	61.4875	1.00195
111	787.192	61.6837	0.993404
112	785.039	63.8566	0.996129
113	781.561	61.3986	1.00056
114	779.941	63.3223	1.00264
115	789.482	80.6198	0.990523
116	788.233	64.412	0.992092
117	781.666	60.1798	1.00043
118	793.773	64.2018	0.985168
119	789.571	63.6276	0.990412
120	783.922	64.583	0.997548
